T,rec_id,converged,num_converged,num_incomplete,num_not_converged,num_hit_maxiter,num_diverged,num_crashed,num_error_should_be_converged,num_no_data,best_N,best_m,best_iter,min_N_converged,min_m_converged,median_iter,converged_T
T05,76,yes,49,0,0,0,0,0,0,0,20,320,110.0,5,5,751.0,
T05,77,yes,49,0,0,0,0,0,0,0,5,320,71.0,5,5,644.0,
T05,78,yes,49,0,0,0,0,0,0,0,5,320,74.0,5,5,809.0,
T05,79,yes,49,0,0,0,0,0,0,0,5,160,70.0,5,5,933.0,
T05,80,yes,49,0,0,0,0,0,0,0,5,80,75.0,5,5,982.0,
T05,81,yes,49,0,0,0,0,0,0,0,5,160,62.0,5,5,654.0,
T05,82,yes,49,0,0,0,0,0,0,0,10,320,110.0,5,5,708.0,
T05,83,yes,49,0,0,0,0,0,0,0,20,320,140.0,5,5,1025.0,
T05,84,yes,42,0,0,0,0,7,0,0,10,160,112.0,10,5,900.0,
T10,1,yes,49,0,0,0,0,0,0,0,5,320,65.0,5,5,1075.0,
T10,2,yes,49,0,0,0,0,0,0,0,5,160,87.0,5,5,1336.0,
T10,3,yes,49,0,0,0,0,0,0,0,5,80,64.0,5,5,648.0,
T10,4,yes,49,0,0,0,0,0,0,0,5,80,70.0,5,5,696.0,
T10,5,yes,49,0,0,0,0,0,0,0,5,160,73.0,5,5,1303.0,
T10,6,yes,49,0,0,0,0,0,0,0,5,80,68.0,5,5,788.0,
T10,7,yes,49,0,0,0,0,0,0,0,5,320,62.0,5,5,894.0,
T10,8,yes,49,0,0,0,0,0,0,0,5,160,78.0,5,5,759.0,
T10,9,yes,49,0,0,0,0,0,0,0,5,160,103.0,5,5,1108.0,
T10,10,yes,49,0,0,0,0,0,0,0,5,160,79.0,5,5,1089.0,
T10,11,yes,49,0,0,0,0,0,0,0,5,80,72.0,5,5,1151.0,
T10,12,yes,49,0,0,0,0,0,0,0,5,160,72.0,5,5,568.0,
T10,13,yes,49,0,0,0,0,0,0,0,5,160,95.0,5,5,1518.0,
T10,14,yes,49,0,0,0,0,0,0,0,5,80,82.0,5,5,1109.0,
T10,15,yes,49,0,0,0,0,0,0,0,5,320,67.0,5,5,961.0,
T10,16,yes,49,0,0,0,0,0,0,0,5,320,69.0,5,5,823.0,
T10,17,yes,49,0,0,0,0,0,0,0,5,320,77.0,5,5,1231.0,
T10,18,yes,49,0,0,0,0,0,0,0,5,160,77.0,5,5,861.0,
T10,19,yes,49,0,0,0,0,0,0,0,5,80,79.0,5,5,1129.0,
T10,20,yes,49,0,0,0,0,0,0,0,5,320,91.0,5,5,1151.0,
T10,21,yes,49,0,0,0,0,0,0,0,5,320,74.0,5,5,1038.0,
T10,22,yes,49,0,0,0,0,0,0,0,5,160,73.0,5,5,958.0,
T10,23,yes,49,0,0,0,0,0,0,0,5,320,85.0,5,5,1122.0,
T10,24,yes,49,0,0,0,0,0,0,0,5,80,82.0,5,5,1183.0,
T10,25,yes,49,0,0,0,0,0,0,0,5,160,60.0,5,5,835.0,
T10,26,yes,49,0,0,0,0,0,0,0,5,160,101.0,5,5,1591.0,
T10,27,yes,48,0,0,0,0,0,0,1,40,320,165.0,5,5,1247.5,
T10,28,yes,49,0,0,0,0,0,0,0,5,160,84.0,5,5,1443.0,
T10,29,yes,49,0,0,0,0,0,0,0,5,320,58.0,5,5,861.0,
T10,30,yes,48,0,0,0,0,0,0,1,40,320,167.0,5,5,1901.5,
T10,31,yes,49,0,0,0,0,0,0,0,5,320,101.0,5,5,1313.0,
T10,32,yes,49,0,0,0,0,0,0,0,5,320,61.0,5,5,761.0,
T10,33,yes,49,0,0,0,0,0,0,0,5,160,57.0,5,5,1129.0,
T10,34,yes,49,0,0,0,0,0,0,0,5,160,76.0,5,5,1164.0,
T10,35,yes,49,0,0,0,0,0,0,0,5,320,67.0,5,5,1017.0,
T10,36,yes,49,0,0,0,0,0,0,0,5,80,75.0,5,5,894.0,
T10,37,yes,49,0,0,0,0,0,0,0,5,320,84.0,5,5,1144.0,
T10,38,yes,49,0,0,0,0,0,0,0,5,320,100.0,5,5,1562.0,
T10,39,yes,49,0,0,0,0,0,0,0,10,320,123.0,5,5,1775.0,
T10,40,yes,49,0,0,0,0,0,0,0,5,80,85.0,5,5,1533.0,
T10,41,yes,49,0,0,0,0,0,0,0,5,80,63.0,5,5,805.0,
T10,42,yes,49,0,0,0,0,0,0,0,5,160,77.0,5,5,961.0,
T10,43,yes,49,0,0,0,0,0,0,0,5,320,76.0,5,5,1152.0,
T10,44,yes,49,0,0,0,0,0,0,0,5,320,84.0,5,5,922.0,
T10,45,yes,49,0,0,0,0,0,0,0,5,160,91.0,5,5,1185.0,
T10,46,yes,49,0,0,0,0,0,0,0,5,160,77.0,5,5,1073.0,
T10,47,yes,49,0,0,0,0,0,0,0,5,320,88.0,5,5,1895.0,
