rec_id,u1,u2,u3,T_guess,shift,distance
1,-2.570693775741,-3.271786623374,17.925499238638,18.170000000000,1817,0.014881212838
2,-1.039624083963,-1.368551975029,15.670890360542,18.170000000000,1817,0.017304203427
3,-3.723673265661,0.511951535721,27.841380141597,18.880000000000,1888,0.018963978765
4,-5.419712720727,-2.040876159369,28.061024605035,19.010000000000,1901,0.021701561566
5,6.050942497143,1.352048932167,29.994805842812,18.990000000000,1899,0.023243709060
6,-3.297748471016,-1.349335313638,24.511247706787,21.850000000000,2185,0.023349867807
7,-11.090382498460,-15.761690238399,23.944301115093,21.850000000000,2185,0.023703560214
8,4.306979479174,7.044276552362,15.400815701040,18.170000000000,1817,0.025823244402
9,1.242357831500,1.206782403602,18.031645850196,18.170000000000,1817,0.026586071509
10,5.306075422500,9.949980922713,9.952274155525,20.550000000000,2055,0.026621382447
11,13.131707873794,15.047667858916,30.995616386598,18.990000000000,1899,0.026762796571
12,-1.235953694011,-3.720778035515,23.180436845481,20.550000000000,2055,0.027197801351
13,3.446798029506,-0.375629664013,27.181444064916,21.550000000000,2155,0.028352751604
14,-1.506940557749,-0.836532784147,20.450319756527,19.210000000000,1921,0.029425895425
15,-4.886966394478,-8.936027812065,10.952228496262,21.920000000000,2192,0.030148340566
16,3.589254177195,4.352746686450,19.480151077395,18.990000000000,1899,0.031009408848
17,0.659634893600,2.846906233580,22.643551235283,21.920000000000,2192,0.031304793309
18,4.498965978329,-1.840259866608,30.503206199537,18.830000000000,1883,0.033907814846
19,2.464012067578,4.377492809165,11.204726680200,19.090000000000,1909,0.034553141243
20,5.991453996634,9.273501343211,17.189111467386,21.180000000000,2118,0.036045795017
21,10.521076807231,14.664947043093,23.902350891213,18.990000000000,1899,0.037858862910
22,-2.750233739590,-5.066410310948,9.848968478273,18.850000000000,1885,0.039808250969
23,9.190929970812,14.026824154901,20.129546406766,21.550000000000,2155,0.040712349382
24,14.534889165699,20.278766235916,28.503211644597,18.340000000000,1834,0.043526653961
25,-6.469676738177,-10.650850316570,15.921586958309,19.210000000000,1921,0.049803089518
26,-0.076433231253,-0.118541806419,10.590456621630,19.120000000000,1912,0.050922263286
27,-9.535285431053,-16.760038703814,15.463715307507,21.520000000000,2152,0.051000642226
28,-1.536965527313,1.870770858830,25.646025470193,18.130000000000,1813,0.051450228041
29,13.935031508777,13.572719701181,34.636615609026,20.620000000000,2062,0.052895033079
30,2.426371088159,0.434340312209,23.945897083990,19.740000000000,1974,0.053464718358
31,5.247892381176,7.024113110668,19.639447121347,21.180000000000,2118,0.054534142362
32,9.749346630039,16.477862306220,17.221758306154,20.710000000000,2071,0.054581155923
33,-12.167242698492,-14.303072473750,29.281821604606,21.900000000000,2190,0.057750847767
34,-4.261937863004,-7.240243808930,13.854948435154,21.120000000000,2112,0.058955687427
35,0.555496014819,0.782278282023,14.034341456590,21.860000000000,2186,0.059039922599
36,-10.637270733763,-17.199284359508,19.618875483622,20.690000000000,2069,0.062295128570
37,12.316587030191,17.486562404162,25.331913940893,18.690000000000,1869,0.066714883604
38,-5.663824937724,-0.206817083600,30.446981680841,19.730000000000,1973,0.066717129650
39,-13.032584157101,-17.156292936512,28.065504292560,19.730000000000,1973,0.072230010576
40,2.172523914885,3.640967118277,14.954022838287,19.210000000000,1921,0.075284652319
41,7.954644701698,13.542282090988,15.543147398432,18.010000000000,1801,0.075335831762
42,-7.790036880142,-11.952239526745,18.782214566263,19.210000000000,1921,0.079939097050
43,1.364581477193,-2.451552462959,26.151370657783,18.030000000000,1803,0.080525732612
44,11.414986251731,17.853534118932,21.498699653533,19.190000000000,1919,0.083551584350
45,-8.406464497502,-14.069364473579,16.503576173951,18.300000000000,1830,0.089941664521
46,-1.898314504777,-3.241473099934,12.292100002766,21.350000000000,2135,0.090172960131
47,-15.585642694394,-17.082319459595,35.244086116506,19.740000000000,1974,0.108760789660
48,-4.111378363341,-6.394430493592,22.722106995657,19.260000000000,1926,0.109082396767
49,-4.819529749221,-6.804050312130,18.355882773281,21.000000000000,2100,0.109719199753
50,-7.505909383894,-3.079830843654,30.988295494332,20.560000000000,2056,0.110948294111
51,5.814134833181,9.887961015372,14.215680219271,20.220000000000,2022,0.112514307294
52,1.565345831122,3.104573412642,6.040440161723,19.260000000000,1926,0.113897599494
53,-4.937645219455,2.498221829464,31.766263401971,19.600000000000,1960,0.114051159532
54,0.330240156837,4.388436497445,26.102017227783,19.840000000000,1984,0.120830609643
55,-9.572840479568,-13.910743649430,21.820389172349,18.770000000000,1877,0.123071957908
56,-14.041293694819,-15.587709649062,32.792134642834,20.580000000000,2058,0.123886141751
57,7.702463146151,11.364670771113,19.733010544158,19.620000000000,1962,0.125910811966
58,-15.212303457294,-19.472941230614,31.574189100450,20.260000000000,2026,0.125946567212
59,13.583296696055,20.622757310782,24.833962039442,20.620000000000,2062,0.128732872528
60,15.297197860756,16.758890074421,34.824098009128,19.810000000000,1981,0.133344485119
61,4.658421841300,2.861066902706,25.402865555484,19.810000000000,1981,0.135652665637
62,13.093417418595,17.041861052701,28.401241320428,21.300000000000,2130,0.136874954125
63,-12.525792319165,-18.957215737222,23.731242915880,19.890000000000,1989,0.148447513778
64,1.272114260991,2.375484486676,9.150431159014,18.180000000000,1818,0.157012524178
65,-6.401217058169,-9.180383901551,19.302576058585,18.770000000000,1877,0.158292469857
66,7.124967997055,4.169084501916,29.095046568038,20.870000000000,2087,0.159865919440
67,2.384961030247,-3.404641709374,28.889754563262,18.040000000000,1804,0.162616732445
68,10.856630888527,13.020159903772,27.303644661181,20.870000000000,2087,0.170267348950
69,-2.381570589622,3.132508977811,28.593684987757,20.580000000000,2058,0.185672725416
70,-7.741565691936,-10.378949232723,21.869047025798,19.770000000000,1977,0.196128176601
71,11.506791393825,19.838684912393,17.993105301631,21.880000000000,2188,0.202459172829
72,4.178545451038,7.388969547436,11.987701579368,21.110000000000,2111,0.210791121808
73,-6.345584090627,-11.738132710795,11.084485242774,21.190000000000,2119,0.218439562130
74,9.314157377738,6.151196846232,31.564491646918,21.870000000000,2187,0.226093120171
75,-13.844275634476,-20.041095168735,26.598866719335,21.110000000000,2111,0.235574861039
76,-11.873447804874,-10.162593312879,33.166755057116,18.790000000000,1879,0.243857402374
77,11.919680918423,11.584341224830,31.800479533376,18.170000000000,1817,0.255801123135
78,8.747416194249,11.493528372983,23.640641034096,19.780000000000,1978,0.259496257305
79,-11.910894840906,-20.371960510235,18.713445263918,18.820000000000,1882,0.260739784921
80,-2.800923045832,-4.371246235040,14.979923174535,20.590000000000,2059,0.268089945839
81,3.612322899572,-4.781742853258,31.857290982919,19.050000000000,1905,0.278141140208
82,3.004949527791,5.504109591924,23.223053149360,19.570000000000,1957,0.287508569707
83,-8.908265932971,-5.824318959979,31.053208453314,19.770000000000,1977,0.290786591311
